sourashtra_sentence,english_sentence,optional_context
aangu hunno,fever
havdi havdi,worrying
vaaru vaaruk,weekly,on a week-to-week basis
ghentO hoyiriyO,late
havdan se,remember,
havdan nhi,forget,
isOsi,like this,
tisOsi,like that,
IchAr,like this,
yelle mam,in here,
retcha kerattE,shout,
harmbam kerattE,start,
pod jaaL,jealous,literally meaning 'belly fire'
machi machi,alternate,give me another one - 'machi machi dE'
sE,be,indicates temporary status
sEte,be,indicates factual or always condition
sEte,have,sEtE also gives possession such as 'mogo dee pillan sEtE' means I have 2 children
machi machi sangaris,twisting the truth,
haathum kennaga,don't be stubborn,
color color gan se,colorful,
dhami dhami jediyo,running all over the place,
hallu hallu ker avDai sikayai,go slow and you will learn,